text,label
"Meh, the smartwatch is just average.",neutral
"The camera works as described, average performance overall.",neutral
Terrible product.,negative
"Average quality smartphone, does what it says.",neutral
"Outstanding laptop, exceeded all my expectations.",positive
"Could be better, could be worse.",neutral
"Great stuff, the speaker is top notch.",positive
Worth every penny.,positive
Great product.,positive
The office chair arrived damaged and was hard to return.,negative
The router gets the job done but there is room for improvement.,neutral
Kind of mixed on this smartphone.,neutral
"Great value for money, the router is excellent quality.",positive
Neither good nor bad.,neutral
Terrible product.,negative
"Such a bad office chair, wasted my money.",negative
The blender arrived quickly and works perfectly every time.,positive
Total garbage.,negative
Mixed feelings.,neutral
"The headphones is acceptable, though I expected slightly more.",neutral
Mixed feelings.,neutral
Bad experience with the blender.,negative
"The router is slow, unreliable, and frustrating to use.",negative
"The backpack is neither great nor terrible, just average.",neutral
The running shoes is fine I suppose.,neutral
"Solid coffee maker, no complaints.",positive
So so.,neutral
"The backpack is acceptable, though I expected slightly more.",neutral
Worth every penny.,positive
"Solid coffee maker, no complaints.",positive
"Five stars for this speaker, could not be happier.",positive
Cheap and useless fitness tracker.,negative
The speaker is functional but feels a bit outdated.,neutral
Regret this purchase.,negative
"Good one, really glad I bought this smartphone.",positive
"The blender is acceptable, though I expected slightly more.",neutral
"Really good router, does exactly what I need.",positive
Not worth it.,negative
"Average quality headphones, does what it says.",neutral
"Terrible wireless mouse, do not buy.",negative
Very satisfied.,positive
"Terrible experience, the smartphone never worked properly.",negative
10 out of 10.,positive
Not worth it.,negative
"It works, but nothing impressive about the smartwatch.",neutral
"Poor build quality, the office chair is not worth the price.",negative
Best purchase.,positive
"Such a bad smartphone, wasted my money.",negative
Extremely disappointed with this running shoes.,negative
"Great office chair, really happy with it.",positive
Mixed feelings.,neutral
Awful quality.,negative
Neither good nor bad.,neutral
The air purifier arrived damaged and was hard to return.,negative
"Awful running shoes, would not recommend.",negative
"Best backpack I have ever owned, truly impressive.",positive
The fitness tracker is fine I suppose.,neutral
"Meh, the keyboard is just average.",neutral
"The office chair is okay, nothing particularly special about it.",neutral
So happy with this.,positive
"Terrible router, do not buy.",negative
The smartphone is decent enough.,neutral
Pretty average product.,neutral
"Do not buy this smartwatch, it is terrible quality.",negative
Love this tablet!,positive
"The blender is okay, nothing particularly special about it.",neutral
Hate it.,negative
Works perfectly.,positive
"Could be better, could be worse.",neutral
Absolutely terrible.,negative
"Solid wireless mouse, no complaints.",positive
Decent enough.,neutral
"The headphones is fine for basic use, nothing more.",neutral
The smartphone broke down after the first use.,negative
"Really good electric kettle, does exactly what I need.",positive
Nothing special.,neutral
"Poor build quality, the air purifier is not worth the price.",negative
"Great coffee maker, really happy with it.",positive
Really bad.,negative
It is okay I guess.,neutral
"I regret buying this monitor, it failed within a week.",negative
Very satisfied.,positive
The office chair is rubbish.,negative
"Average smartwatch, does its job.",neutral
Love it!,positive
This keyboard is a scam.,negative
"Average air purifier, does its job.",neutral
The backpack is garbage.,negative
"Awful smartwatch, would not recommend.",negative
Worth every penny.,positive
Hate it.,negative
"Such a bad speaker, wasted my money.",negative
"The headphones is sturdy, fast, and easy to use.",positive
Just okay.,neutral
Average product.,neutral
The vacuum cleaner arrived damaged and was hard to return.,negative
"Hate this fitness tracker, it keeps breaking.",negative
The coffee maker arrived quickly and works perfectly every time.,positive
Bad experience with the air purifier.,negative
10 out of 10.,positive
So happy with this.,positive
The keyboard is passable.,neutral
Cheap and useless smartphone.,negative
Nothing special.,neutral
Fine I guess.,neutral
The office chair is garbage.,negative
"Such a bad air purifier, wasted my money.",negative
The monitor meets basic expectations but lacks extra features.,neutral
"Good one, really glad I bought this tablet.",positive
The keyboard is passable.,neutral
"Decent camera for the price, though not outstanding.",neutral
Great product.,positive
"It is an okay laptop, nothing to write home about.",neutral
"Average quality coffee maker, does what it says.",neutral
Worth every penny.,positive
"Such a bad running shoes, wasted my money.",negative
The blender has amazing battery life and feels premium.,positive
10 out of 10.,positive
Not worth it.,negative
"This router is fantastic, well built and reliable.",positive
Do not buy.,negative
"Could be better, could be worse.",neutral
"Really bad wireless mouse, very disappointed.",negative
"Meh, the coffee maker is just average.",neutral
"The keyboard is okay, nothing particularly special about it.",neutral
The monitor arrived damaged and was hard to return.,negative
"Poor build quality, the laptop is not worth the price.",negative
So frustrated.,negative
"I have mixed feelings about the air purifier, some good some bad.",neutral
Good one.,positive
I'm impressed by how well the air purifier performs daily.,positive
Terrible product.,negative
"Amazing vacuum cleaner, 10/10 would buy again.",positive
Best purchase.,positive
The office chair has amazing battery life and feels premium.,positive
"Average blender, does its job.",neutral
"I regret buying this running shoes, it failed within a week.",negative
Fine I guess.,neutral
Awful quality.,negative
Total garbage.,negative
Terrible product.,negative
"Great value for money, the headphones is excellent quality.",positive
Best buy ever — the smartwatch is perfect.,positive
Amazing quality.,positive
Waste of money.,negative
Hate it.,negative
Amazing quality.,positive
I'm impressed by how well the router performs daily.,positive
"Decent speaker for the price, though not outstanding.",neutral
The laptop has amazing battery life and feels premium.,positive
"The wireless mouse is acceptable, though I expected slightly more.",neutral
"I have mixed feelings about the tablet, some good some bad.",neutral
"I regret buying this air purifier, it failed within a week.",negative
The wireless mouse arrived quickly and works perfectly every time.,positive
"Happy with this coffee maker, works well.",positive
"Poor build quality, the coffee maker is not worth the price.",negative
This backpack is a scam.,negative
Mixed feelings.,neutral
Could be better.,neutral
"Worst coffee maker I have ever bought, completely useless.",negative
"The router is okay, nothing particularly special about it.",neutral
"It does the job, but the vacuum cleaner is not very impressive.",neutral
"Awful coffee maker, would not recommend.",negative
Neither good nor bad.,neutral
Really good.,positive
"Such a bad monitor, wasted my money.",negative
The wireless mouse arrived quickly and works perfectly every time.,positive
Meh.,neutral
"It works, but nothing impressive about the laptop.",neutral
The keyboard is garbage.,negative
The tablet stopped working immediately.,negative
"Terrible running shoes, do not buy.",negative
"Five stars for this monitor, could not be happier.",positive
Worst purchase ever.,negative
Hate it.,negative
The running shoes is passable.,neutral
The fitness tracker exceeded my expectations and works flawlessly.,positive
The backpack is awesome!,positive
"I have mixed feelings about the monitor, some good some bad.",neutral
"The air purifier is slow, unreliable, and frustrating to use.",negative
Broken on arrival.,negative
"The vacuum cleaner is acceptable, though I expected slightly more.",neutral
Terrible product.,negative
Broken on arrival.,negative
This tablet is so good.,positive
"Five stars for this keyboard, could not be happier.",positive
The backpack is exactly what I was looking for.,positive
The smartphone overheats constantly and the battery drains fast.,negative
The keyboard is awesome!,positive
Love it!,positive
"It does what it should, nothing more.",neutral
"Could be better, could be worse.",neutral
"Worst headphones I have ever bought, completely useless.",negative
The running shoes arrived quickly and works perfectly every time.,positive
"Good one, really glad I bought this blender.",positive
Pretty average product.,neutral
Love this headphones!,positive
"Really good smartphone, does exactly what I need.",positive
The wireless mouse gets the job done but there is room for improvement.,neutral
"Meh, the speaker is just average.",neutral
"I have mixed feelings about the keyboard, some good some bad.",neutral
"Totally worth it, love the tablet.",positive
"Solid air purifier, no complaints.",positive
It is okay.,neutral
"It works, but nothing impressive about the vacuum cleaner.",neutral
"It works, but nothing impressive about the speaker.",neutral
"Great stuff, the laptop is top notch.",positive
"The router is fine for basic use, nothing more.",neutral
The office chair works like a charm.,positive
"I am disappointed with this blender, it feels cheap.",negative
The smartphone is exactly what I was looking for.,positive
Very satisfied.,positive
Really bad.,negative
"Best smartwatch I have ever owned, truly impressive.",positive
Awful quality.,negative
Could be better.,neutral
Neither good nor bad.,neutral
"Five stars for this air purifier, could not be happier.",positive
The vacuum cleaner is functional but feels a bit outdated.,neutral
Super happy with my new router.,positive
"Totally worth it, love the laptop.",positive
Worth every penny.,positive
"Terrible experience, the tablet never worked properly.",negative
Middle of the road.,neutral
Great product.,positive
Absolutely love it.,positive
"The speaker is fine for basic use, nothing more.",neutral
"Decent speaker for the price, though not outstanding.",neutral
The camera works like a charm.,positive
The fitness tracker arrived damaged and was hard to return.,negative
The router stopped working immediately.,negative
Meh.,neutral
Do not buy.,negative
Broken on arrival.,negative
It is alright.,neutral
"Terrible tablet, do not buy.",negative
Decent enough.,neutral
"It works, but nothing impressive about the blender.",neutral
"Meh, the headphones is just average.",neutral
"The smartwatch is worth every penny, highly satisfied.",positive
"Highly recommend this laptop, it solved all my needs.",positive
"Outstanding office chair, exceeded all my expectations.",positive
The fitness tracker stopped working after just a few days.,negative
The fitness tracker arrived damaged and was hard to return.,negative
The camera is rubbish.,negative
Really bad.,negative
"Wow, the office chair blew me away.",positive
Bad experience with the coffee maker.,negative
Really good.,positive
Love this electric kettle!,positive
The camera gets the job done but there is room for improvement.,neutral
"Best fitness tracker I have ever owned, truly impressive.",positive
The tablet is garbage.,negative
Super happy with my new smartphone.,positive
10 out of 10.,positive
Bad experience with the air purifier.,negative
Great product.,positive
10 out of 10.,positive
Very disappointed.,negative
"Great stuff, the smartwatch is top notch.",positive
The air purifier arrived quickly and works perfectly every time.,positive
10 out of 10.,positive
"Highly recommend this running shoes, it solved all my needs.",positive
The running shoes broke down after the first use.,negative
Nothing special.,neutral
It is alright.,neutral
10 out of 10.,positive
This headphones is a scam.,negative
"Average blender, does its job.",neutral
"Worst smartphone I have ever bought, completely useless.",negative
Highly recommend.,positive
Love this running shoes!,positive
The speaker broke down after the first use.,negative
The headphones meets basic expectations but lacks extra features.,neutral
"Absolutely love the smartphone, best purchase this year.",positive
The camera gets the job done but there is room for improvement.,neutral
"Meh, the keyboard is just average.",neutral
The router is awesome!,positive
"Five stars for this speaker, could not be happier.",positive
"Mixed results with the speaker, some things work well others do not.",neutral
Extremely disappointed with this coffee maker.,negative
Best buy ever — the running shoes is perfect.,positive
Fantastic!,positive
"The office chair is worth every penny, highly satisfied.",positive
The fitness tracker is awesome!,positive
"The coffee maker is alright, nothing special.",neutral
"This headphones is fantastic, well built and reliable.",positive
The speaker arrived quickly and works perfectly every time.,positive
Bad experience with the air purifier.,negative
Best purchase.,positive
Pretty average product.,neutral
"Could be better, could be worse.",neutral
"I regret buying this router, it failed within a week.",negative
"Great camera, really happy with it.",positive
Very satisfied.,positive
The coffee maker is fine I suppose.,neutral
Not amazing but not bad either.,neutral
"Do not buy this router, it is terrible quality.",negative
This keyboard broke quickly and customer service was unhelpful.,negative
"Do not buy this headphones, it is terrible quality.",negative
Super happy with my new speaker.,positive
"The fitness tracker is neither great nor terrible, just average.",neutral
Really good.,positive
Decent enough.,neutral
Fine I guess.,neutral
The smartwatch is passable but I would not buy it again.,neutral
Excellent purchase.,positive
"The running shoes is neither great nor terrible, just average.",neutral
So so.,neutral
"The wireless mouse is neither great nor terrible, just average.",neutral
Good one.,positive
"Average quality laptop, does what it says.",neutral
"Poor build quality, the smartwatch is not worth the price.",negative
Not amazing but not bad either.,neutral
"It works, but nothing impressive about the headphones.",neutral
Fine I guess.,neutral
Not worth it.,negative
Regret buying this fitness tracker.,negative
Worth every penny.,positive
Absolutely terrible.,negative
Works perfectly.,positive
"Could be better, could be worse.",neutral
"The running shoes is slow, unreliable, and frustrating to use.",negative
Does the job.,neutral
"Amazing speaker, 10/10 would buy again.",positive
Very satisfied.,positive
"The tablet is slow, unreliable, and frustrating to use.",negative
So so.,neutral
"It is an okay monitor, nothing to write home about.",neutral
Bad experience with the smartwatch.,negative
"Great stuff, the wireless mouse is top notch.",positive
Awful quality.,negative
Total garbage.,negative
"The camera is acceptable, though I expected slightly more.",neutral
The monitor is garbage.,negative
Mixed feelings.,neutral
Absolutely love it.,positive
"Great stuff, the electric kettle is top notch.",positive
"Great electric kettle, really happy with it.",positive
The backpack works like a charm.,positive
Absolutely terrible.,negative
The fitness tracker overheats constantly and the battery drains fast.,negative
Middle of the road.,neutral
Fine I guess.,neutral
Not happy at all with the air purifier.,negative
The fitness tracker is awesome!,positive
Regret this purchase.,negative
This office chair is so good.,positive
Nothing special.,neutral
"Absolutely love the office chair, best purchase this year.",positive
"This vacuum cleaner is fantastic, well built and reliable.",positive
The electric kettle exceeded my expectations and works flawlessly.,positive
"The headphones is sturdy, fast, and easy to use.",positive
Works perfectly.,positive
The keyboard exceeded my expectations and works flawlessly.,positive
Fine I guess.,neutral
Customer support ignored my complaints about the faulty smartphone.,negative
"The speaker works as described, average performance overall.",neutral
The air purifier is a complete waste of money.,negative
Very disappointed.,negative
"Really bad coffee maker, very disappointed.",negative
Absolutely love it.,positive
"Terrible vacuum cleaner, do not buy.",negative
Does the job.,neutral
Love this blender!,positive
Neither good nor bad.,neutral
"Totally worth it, love the blender.",positive
Worst purchase ever.,negative
"Best headphones I have ever owned, truly impressive.",positive
The office chair is awesome!,positive
Broken on arrival.,negative
Average product.,neutral
Regret buying this headphones.,negative
Fine I guess.,neutral
The fitness tracker is passable but I would not buy it again.,neutral
The keyboard is rubbish.,negative
"It is what it is, just an okay smartphone.",neutral
"Five stars for this backpack, could not be happier.",positive
Does the job.,neutral
Completely useless.,negative
Total garbage.,negative
Middle of the road.,neutral
"It does what it should, nothing more.",neutral
"Such a bad smartwatch, wasted my money.",negative
"Broken router, very frustrating.",negative
The tablet arrived quickly and works perfectly every time.,positive
"Awful coffee maker, would not recommend.",negative
The blender stopped working immediately.,negative
Kind of mixed on this smartwatch.,neutral
This smartwatch broke quickly and customer service was unhelpful.,negative
"Wow, the monitor blew me away.",positive
"Five stars for this running shoes, could not be happier.",positive
Regret buying this wireless mouse.,negative
The smartphone stopped working immediately.,negative
"Amazing running shoes, 10/10 would buy again.",positive
"The fitness tracker is sturdy, fast, and easy to use.",positive
Mixed feelings.,neutral
Worst purchase ever.,negative
Regret buying this fitness tracker.,negative
Completely useless.,negative
The wireless mouse broke down after the first use.,negative
Meh.,neutral
Cheap and useless office chair.,negative
Absolutely terrible.,negative
Absolutely terrible.,negative
Nothing special.,neutral
Completely useless.,negative
Terrible product.,negative
Customer support ignored my complaints about the faulty laptop.,negative
Not bad.,neutral
So so.,neutral
Total garbage.,negative
Customer support ignored my complaints about the faulty air purifier.,negative
"It is an okay electric kettle, nothing to write home about.",neutral
"Terrible experience, the speaker never worked properly.",negative
Best buy ever — the smartphone is perfect.,positive
"Really good vacuum cleaner, does exactly what I need.",positive
It is okay.,neutral
"The monitor sucks, total waste.",negative
"Not bad, not great either.",neutral
"Happy with this fitness tracker, works well.",positive
"Solid backpack, no complaints.",positive
The vacuum cleaner is passable.,neutral
"Great air purifier, really happy with it.",positive
"Outstanding running shoes, exceeded all my expectations.",positive
"Wow, the camera blew me away.",positive
Absolutely terrible.,negative
The electric kettle is decent enough.,neutral
It is okay.,neutral
Very disappointed.,negative
This blender is a scam.,negative
Not bad.,neutral
Great product.,positive
"It works, but nothing impressive about the smartwatch.",neutral
"It does what it should, nothing more.",neutral
Amazing quality.,positive
This laptop is a scam.,negative
"Meh, the blender is just average.",neutral
"Absolutely love the speaker, best purchase this year.",positive
It is okay I guess.,neutral
"The monitor sucks, total waste.",negative
Could be better.,neutral
Worth every penny.,positive
"It is what it is, just an okay wireless mouse.",neutral
Love it!,positive
Love it!,positive
"Happy with this electric kettle, works well.",positive
The keyboard is decent enough.,neutral
Could be better.,neutral
"The backpack sucks, total waste.",negative
Waste of money.,negative
The smartwatch is a complete waste of money.,negative
"Amazing running shoes, 10/10 would buy again.",positive
The headphones is rubbish.,negative
The office chair gets the job done but there is room for improvement.,neutral
Best purchase.,positive
Very disappointed.,negative
"Great tablet, really happy with it.",positive
Average product.,neutral
So happy with this.,positive
Worst purchase ever.,negative
Awful quality.,negative
"Wow, the electric kettle blew me away.",positive
It is alright.,neutral
"The smartwatch is worth every penny, highly satisfied.",positive
Not bad.,neutral
"Average quality running shoes, does what it says.",neutral
"Happy with this tablet, works well.",positive
Not worth it.,negative
So frustrated.,negative
Fine I guess.,neutral
Hate it.,negative
Awful quality.,negative
Waste of money.,negative
Hate it.,negative
10 out of 10.,positive
The vacuum cleaner is rubbish.,negative
Does the job.,neutral
Bad experience with the tablet.,negative
"Broken electric kettle, very frustrating.",negative
Mixed feelings.,neutral
Absolutely love it.,positive
The air purifier is functional but feels a bit outdated.,neutral
Waste of money.,negative
Extremely disappointed with this running shoes.,negative
"It does what it should, nothing more.",neutral
Nothing special.,neutral
Does the job.,neutral
"The monitor is fine for basic use, nothing more.",neutral
The router arrived quickly and works perfectly every time.,positive
The backpack is fine I suppose.,neutral
Absolutely terrible.,negative
Fantastic!,positive
The fitness tracker has amazing battery life and feels premium.,positive
"The wireless mouse is slow, unreliable, and frustrating to use.",negative
The smartphone is garbage.,negative
"The running shoes sucks, total waste.",negative
Not happy at all with the air purifier.,negative
Completely useless.,negative
Middle of the road.,neutral
Kind of mixed on this tablet.,neutral
"Wow, the laptop blew me away.",positive
The headphones is decent enough.,neutral
"Mixed results with the backpack, some things work well others do not.",neutral
So so.,neutral
Absolutely love it.,positive
Super happy with my new monitor.,positive
Excellent purchase.,positive
"It does the job, but the smartwatch is not very impressive.",neutral
"The camera is fine for basic use, nothing more.",neutral
Highly recommend.,positive
"Absolutely love the blender, best purchase this year.",positive
Worst purchase ever.,negative
"I regret buying this running shoes, it failed within a week.",negative
Love this air purifier!,positive
Meh.,neutral
"Worst blender I have ever bought, completely useless.",negative
So happy with this.,positive
The fitness tracker stopped working after just a few days.,negative
The tablet exceeded my expectations and works flawlessly.,positive
"Solid tablet, no complaints.",positive
Regret buying this backpack.,negative
"The camera is alright, nothing special.",neutral
It is alright.,neutral
Worth every penny.,positive
"Could be better, could be worse.",neutral
Love this smartwatch!,positive
"Meh, the keyboard is just average.",neutral
"The wireless mouse is sturdy, fast, and easy to use.",positive
"Average quality fitness tracker, does what it says.",neutral
"Not bad, not great either.",neutral
Not bad.,neutral
Really bad.,negative
Cheap and useless office chair.,negative
Super happy with my new office chair.,positive
"It is an okay camera, nothing to write home about.",neutral
Mixed feelings.,neutral
The blender is fine I suppose.,neutral
"Really bad speaker, very disappointed.",negative
Absolutely terrible.,negative
"Broken office chair, very frustrating.",negative
"The vacuum cleaner is worth every penny, highly satisfied.",positive
Pretty average product.,neutral
So frustrated.,negative
"Really good vacuum cleaner, does exactly what I need.",positive
Regret this purchase.,negative
"I have mixed feelings about the blender, some good some bad.",neutral
"Wow, the fitness tracker blew me away.",positive
Amazing quality.,positive
"Terrible headphones, do not buy.",negative
"I am extremely happy with this laptop, it performs great.",positive
Completely useless.,negative
The smartphone has amazing battery life and feels premium.,positive
"Highly recommend this laptop, it solved all my needs.",positive
"The blender is sturdy, fast, and easy to use.",positive
Regret buying this backpack.,negative
So frustrated.,negative
"The camera is acceptable, though I expected slightly more.",neutral
"Great electric kettle, really happy with it.",positive
Regret this purchase.,negative
"Could be better, could be worse.",neutral
"Awful speaker, would not recommend.",negative
"Average quality office chair, does what it says.",neutral
"Awful tablet, would not recommend.",negative
"The camera sucks, total waste.",negative
"Hate this smartphone, it keeps breaking.",negative
"It does what it should, nothing more.",neutral
Broken on arrival.,negative
Fine I guess.,neutral
"Terrible experience, the headphones never worked properly.",negative
Just okay.,neutral
Best buy ever — the office chair is perfect.,positive
"I have mixed feelings about the tablet, some good some bad.",neutral
"Highly recommend this laptop, it solved all my needs.",positive
The headphones is fine I suppose.,neutral
Not bad.,neutral
"Average laptop, does its job.",neutral
Completely useless.,negative
"Hate this air purifier, it keeps breaking.",negative
Average product.,neutral
The running shoes works like a charm.,positive
Worth every penny.,positive
"Wow, the fitness tracker blew me away.",positive
Total garbage.,negative
"Great value for money, the vacuum cleaner is excellent quality.",positive
"Do not buy this smartwatch, it is terrible quality.",negative
"The laptop is fine for basic use, nothing more.",neutral
Nothing special.,neutral
I'm impressed by how well the office chair performs daily.,positive
"Hate this office chair, it keeps breaking.",negative
The electric kettle works like a charm.,positive
Really good.,positive
The backpack is passable but I would not buy it again.,neutral
"Absolutely love the running shoes, best purchase this year.",positive
Love this keyboard!,positive
"The smartwatch works as described, average performance overall.",neutral
"Mixed results with the fitness tracker, some things work well others do not.",neutral
Fantastic!,positive
"Happy with this coffee maker, works well.",positive
Love this wireless mouse!,positive
Good one.,positive
The speaker is functional but feels a bit outdated.,neutral
"It is an okay smartwatch, nothing to write home about.",neutral
This monitor is so good.,positive
Works perfectly.,positive
It is alright.,neutral
Not happy at all with the smartphone.,negative
Customer support ignored my complaints about the faulty office chair.,negative
Absolutely terrible.,negative
"Really good laptop, does exactly what I need.",positive
"Happy with this fitness tracker, works well.",positive
"Mixed results with the headphones, some things work well others do not.",neutral
Super happy with my new electric kettle.,positive
"The office chair is fine for basic use, nothing more.",neutral
Total garbage.,negative
Very satisfied.,positive
The tablet arrived damaged and was hard to return.,negative
Nothing special.,neutral
The laptop is exactly what I was looking for.,positive
Love this blender!,positive
Worst purchase ever.,negative
Not amazing but not bad either.,neutral
It is alright.,neutral
The office chair stopped working immediately.,negative
The office chair is functional but feels a bit outdated.,neutral
Does the job.,neutral
"Not bad, not great either.",neutral
"Good one, really glad I bought this laptop.",positive
Total garbage.,negative
Neither good nor bad.,neutral
"It does the job, but the keyboard is not very impressive.",neutral
"Great value for money, the smartphone is excellent quality.",positive
Good one.,positive
"It works, but nothing impressive about the router.",neutral
"Great keyboard, really happy with it.",positive
The running shoes arrived quickly and works perfectly every time.,positive
This camera broke quickly and customer service was unhelpful.,negative
Broken on arrival.,negative
The blender is a complete waste of money.,negative
Broken on arrival.,negative
"I am extremely happy with this running shoes, it performs great.",positive
Not happy at all with the wireless mouse.,negative
The wireless mouse broke down after the first use.,negative
Cheap and useless blender.,negative
"The vacuum cleaner is alright, nothing special.",neutral
"Solid office chair, no complaints.",positive
Love this headphones!,positive
Not worth it.,negative
The air purifier gets the job done but there is room for improvement.,neutral
Fantastic!,positive
"Do not buy this headphones, it is terrible quality.",negative
"Good one, really glad I bought this vacuum cleaner.",positive
Regret buying this running shoes.,negative
"Amazing headphones, 10/10 would buy again.",positive
"Broken fitness tracker, very frustrating.",negative
The wireless mouse is rubbish.,negative
"Wow, the fitness tracker blew me away.",positive
It is alright.,neutral
The monitor meets basic expectations but lacks extra features.,neutral
The speaker is awesome!,positive
"Awful laptop, would not recommend.",negative
Absolutely love it.,positive
The electric kettle meets basic expectations but lacks extra features.,neutral
"The wireless mouse is acceptable, though I expected slightly more.",neutral
The running shoes exceeded my expectations and works flawlessly.,positive
Customer support ignored my complaints about the faulty speaker.,negative
The smartphone is decent enough.,neutral
"Absolutely love the tablet, best purchase this year.",positive
"I am extremely happy with this wireless mouse, it performs great.",positive
Good one.,positive
"It is an okay electric kettle, nothing to write home about.",neutral
"Broken keyboard, very frustrating.",negative
Middle of the road.,neutral
Worst purchase ever.,negative
Fantastic!,positive
"It does the job, but the tablet is not very impressive.",neutral
Good one.,positive
Neither good nor bad.,neutral
Kind of mixed on this smartwatch.,neutral
The tablet is rubbish.,negative
The coffee maker stopped working after just a few days.,negative
"It is an okay backpack, nothing to write home about.",neutral
"Highly recommend this electric kettle, it solved all my needs.",positive
Broken on arrival.,negative
"Best speaker I have ever owned, truly impressive.",positive
So happy with this.,positive
10 out of 10.,positive
Fantastic!,positive
"I regret buying this air purifier, it failed within a week.",negative
Mixed feelings.,neutral
Worth every penny.,positive
The router arrived quickly and works perfectly every time.,positive
"Solid speaker, no complaints.",positive
Worth every penny.,positive
"Best vacuum cleaner I have ever owned, truly impressive.",positive
This laptop is so good.,positive
Absolutely love it.,positive
Bad experience with the speaker.,negative
The wireless mouse stopped working after just a few days.,negative
"The coffee maker is acceptable, though I expected slightly more.",neutral
Decent enough.,neutral
The keyboard meets basic expectations but lacks extra features.,neutral
The keyboard is rubbish.,negative
Could be better.,neutral
"It does what it should, nothing more.",neutral
The router is passable.,neutral
It is okay.,neutral
Neither good nor bad.,neutral
I'm impressed by how well the office chair performs daily.,positive
"The smartphone is fine for basic use, nothing more.",neutral
"Could be better, could be worse.",neutral
"Amazing running shoes, 10/10 would buy again.",positive
Worst purchase ever.,negative
So so.,neutral
"Average monitor, does its job.",neutral
Just okay.,neutral
This speaker broke quickly and customer service was unhelpful.,negative
Fine I guess.,neutral
The keyboard is rubbish.,negative
The camera is fine I suppose.,neutral
The fitness tracker is passable.,neutral
